prof,date,total,waitlist,enrolled_ct,year,quarter,department,course_id
Solomon; Amanda Lee Albaniel,2025-01-03,-1,0,5,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2025-01-02,-1,0,5,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2025-01-18,-1,0,7,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-20,-1,0,1,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-14,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-13,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-17,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-12,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-16,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-22,-1,0,4,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-11,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-19,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-15,-1,0,0,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-24,-1,0,5,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2025-01-17,-1,0,7,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-21,-1,0,2,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-23,-1,0,5,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2025-01-19,-1,0,7,2025,Winter,AAPI,198
Solomon; Amanda Lee Albaniel,2024-11-18,-1,0,0,2025,Winter,AAPI,198
Butler; Elizabeth Annette,2024-11-17,68,0,22,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-12,68,0,0,2025,Winter,AAS,10
Butler; Elizabeth Annette,2025-01-02,68,7,68,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-24,68,6,68,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-18,68,0,29,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-22,68,0,41,2025,Winter,AAS,10
Butler; Elizabeth Annette,2025-01-18,68,5,68,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-20,68,0,35,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-14,68,0,6,2025,Winter,AAS,10
Butler; Elizabeth Annette,2025-01-03,68,7,67,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-19,68,0,28,2025,Winter,AAS,10
Butler; Elizabeth Annette,2025-01-17,68,6,68,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-16,68,0,10,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-11,68,0,0,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-21,68,0,37,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-13,68,0,3,2025,Winter,AAS,10
Butler; Elizabeth Annette,2025-01-19,68,4,68,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-23,68,0,48,2025,Winter,AAS,10
Butler; Elizabeth Annette,2024-11-15,68,0,6,2025,Winter,AAS,10
Butler; Elizabeth Annette,2025-01-03,68,0,34,2025,Winter,AAS,11
Butler; Elizabeth Annette,2024-11-22,68,0,3,2025,Winter,AAS,11
Butler; Elizabeth Annette,2024-11-21,68,0,2,2025,Winter,AAS,11
Butler; Elizabeth Annette,2024-11-14,68,0,2,2025,Winter,AAS,11
Butler; Elizabeth Annette,2024-11-12,68,0,0,2025,Winter,AAS,11
Butler; Elizabeth Annette,2024-11-17,68,0,3,2025,Winter,AAS,11
Butler; Elizabeth Annette,2024-11-19,68,0,3,2025,Winter,AAS,11
Butler; Elizabeth Annette,2024-11-24,68,0,6,2025,Winter,AAS,11
