passtag,passtime,year,quarter
Prior,2023-11-13,2024,Winter
Prior,2024-02-16,2024,Spring
Prior,2024-05-23,2024,Fall
Prior,2024-11-11,2025,Winter
Prior,2025-02-14,2025,Spring
First Pass Priorities & Seniors Start,2023-11-14,2024,Winter
First Pass Priorities & Seniors Start,2024-02-17,2024,Spring
First Pass Priorities & Seniors Start,2024-05-24,2024,Fall
First Pass Priorities & Seniors Start,2024-11-12,2025,Winter
First Pass Priorities & Seniors Start,2025-02-15,2025,Spring
First Pass Juniors Start,2023-11-16,2024,Winter
First Pass Juniors Start,2024-02-20,2024,Spring
First Pass Juniors Start,2024-05-27,2024,Fall
First Pass Juniors Start,2024-11-14,2025,Winter
First Pass Juniors Start,2025-02-18,2025,Spring
First Pass Sophmores Start,2023-11-17,2024,Winter
First Pass Sophmores Start,2024-02-21,2024,Spring
First Pass Sophmores Start,2024-05-28,2024,Fall
First Pass Sophmores Start,2024-11-15,2025,Winter
First Pass Sophmores Start,2025-02-19,2025,Spring
First Pass First-Year Start,2023-11-18,2024,Winter
First Pass First-Year Start,2024-02-22,2024,Spring
First Pass First-Year Start,2024-05-29,2024,Fall
First Pass First-Year Start,2024-11-16,2025,Winter
First Pass First-Year Start,2025-02-20,2025,Spring
Second Pass Priorities & Seniors Start,2023-11-21,2024,Winter
Second Pass Priorities & Seniors Start,2024-02-26,2024,Spring
Second Pass Priorities & Seniors Start,2024-06-01,2024,Fall
Second Pass Priorities & Seniors Start,2024-11-19,2025,Winter
Second Pass Priorities & Seniors Start,2025-02-24,2025,Spring
Second Pass Juniors Start,2023-11-24,2024,Winter
Second Pass Juniors Start,2024-02-28,2024,Spring
Second Pass Juniors Start,2024-06-04,2024,Fall
Second Pass Juniors Start,2024-11-21,2025,Winter
Second Pass Juniors Start,2025-02-26,2025,Spring
Second Pass Sophmores Start,2023-11-25,2024,Winter
Second Pass Sophmores Start,2024-02-29,2024,Spring
Second Pass Sophmores Start,2024-06-05,2024,Fall
Second Pass Sophmores Start,2024-11-22,2025,Winter
Second Pass Sophmores Start,2025-02-27,2025,Spring
Second Pass First-Year Start,2023-11-27,2024,Winter
Second Pass First-Year Start,2024-03-01,2024,Spring
Second Pass First-Year Start,2024-06-06,2024,Fall
Second Pass First-Year Start,2024-11-23,2025,Winter
Second Pass First-Year Start,2025-02-28,2025,Spring
Quarter Start,2024-01-04,2024,Winter
Quarter Start,2024-03-27,2024,Spring
Quarter Start,2024-09-23,2024,Fall
Quarter Start,2025-01-02,2025,Winter
Quarter Start,2025-03-26,2025,Spring
A Week After Quarter Start,2024-01-11,2024,Winter
A Week After Quarter Start,2024-04-04,2024,Spring
A Week After Quarter Start,2024-09-30,2024,Fall
A Week After Quarter Start,2025-01-18,2025,Winter
A Week After Quarter Start,2025-04-02,2025,Spring
