id,passtag,passtime,year,quarter
f7cc176b4d5458bf07e7f1e2ed5c59593adfa5c5d31e8d6f7b75f783e69f059e,Prior,2023-11-13,2024,Winter
e039988f4d690e7849a7a043d34b49c185cb7ba82cc22ce21ca0edf205e662fe,Prior,2024-02-16,2024,Spring
beb8426807ad454bd1a3a8b4bdfb7dddb9c5a3e79b893c28c6ac2b47102641b5,Prior,2024-05-23,2024,Fall
4e6b730362d1640374b1bdcb5b531c46975e5a866a81324e4a3f5d10d943059c,Prior,2024-11-11,2025,Winter
12407425420def57cae848501e264144895ac975cd03bb5145d171a84fccf95d,Prior,2025-02-14,2025,Spring
44479c0b4e4807d9a3a7cdf04ea0549897d1a20af2c04fb2af00fdaf28d39db5,First Pass Priorities & Seniors Start,2023-11-14,2024,Winter
2416412c99b2efb4278c02fea96029b613a5e5d80b1fc0b149edcddf908edaeb,First Pass Priorities & Seniors Start,2024-02-17,2024,Spring
9c7449debd39ce697b9881d34b57fae89b88e07fb7d00822aae06526e026f4b3,First Pass Priorities & Seniors Start,2024-05-24,2024,Fall
247efd189e807c90ef9851b99b3380e351f24dbf29bf005db74485aadf762eec,First Pass Priorities & Seniors Start,2024-11-12,2025,Winter
54bf2d8976fde085436059c7bd7e6b6534b62af480c2dd50d9aa724d6565f3a3,First Pass Priorities & Seniors Start,2025-02-15,2025,Spring
c33fded42e3e019dbcf6c1e1ba137240845c6f1e35d9802bab11948e1aa36981,First Pass Juniors Start,2023-11-16,2024,Winter
5c9f940c9edb9b65a421bc4323323e9c0b38ece0ffaf6418bf71b6035da1cdac,First Pass Juniors Start,2024-02-20,2024,Spring
c991b60e34905c04baa13aeeb6323ef914b00eedf436a2b96932ec4a2fbe0d11,First Pass Juniors Start,2024-05-27,2024,Fall
f981fe3455786cd61918877e145c4218cece05cdc8306f0e81fea10d4daa6aa3,First Pass Juniors Start,2024-11-14,2025,Winter
aaaaac56202467e87e03fb4ffe25018457c492e5cf421bf4ec4b41327078b7c5,First Pass Juniors Start,2025-02-18,2025,Spring
7caa30651d0337f21ebcb2ecb1a6c0c14b3314188d05d2159b04149913240a5b,First Pass Sophmores Start,2023-11-17,2024,Winter
71af654ed762e5bad7ae9b9ae372dc8cb55c4d04cfe2be0787fbc4f04085168e,First Pass Sophmores Start,2024-02-21,2024,Spring
08fa9f13d5de6114c24b36da3a8acb22e56f21e6728d3bf7d063d90493c2007d,First Pass Sophmores Start,2024-05-28,2024,Fall
5b1e870319d12359618e1508e6fa02a862917f0059a66bf1489ae5ed8726a87b,First Pass Sophmores Start,2024-11-15,2025,Winter
3478a9fd2eca9dfff924947848bf3cc43d08b06933447290f9edcb812b90b5f0,First Pass Sophmores Start,2025-02-19,2025,Spring
26050562c2a9d7110e652a42a6792734c1ab0d2ca0cbfc515865514139d81b60,First Pass First-Year Start,2023-11-18,2024,Winter
257f263887ee3e18f62951b0bfdd1e8685f475300707b71006da4c486a5d4d2d,First Pass First-Year Start,2024-02-22,2024,Spring
ae14e62c808120d9cfe5ed0c65a2bac4df597359e9e906b5f5a510d95621802f,First Pass First-Year Start,2024-05-29,2024,Fall
b684f7a13ba7fdb19192f91b538f74b4a8b4271768db6cd9c3a2b27103586f65,First Pass First-Year Start,2024-11-16,2025,Winter
b14036fffe145dc5aa999c7020d5958e79a2a47f391aa5b8f5df917ab8892a27,First Pass First-Year Start,2025-02-20,2025,Spring
0d0ea50fdc8ac56f4ac55659d6d9c08d4b46d6a9c3a932a2f7ccf7652c7df275,Second Pass Priorities & Seniors Start,2023-11-21,2024,Winter
3a9cc06994c6cf41c928edc273151614094880fb284b64996936c16d79c9032b,Second Pass Priorities & Seniors Start,2024-02-26,2024,Spring
b7b5ab3737cc8a9b29e7c2d9a1cb61c33ff4ec1b19feead7b683dd36c9704f24,Second Pass Priorities & Seniors Start,2024-06-01,2024,Fall
1482e42624a5e51b66128abdead4ae44e104691eb2365329eac5569d7168371c,Second Pass Priorities & Seniors Start,2024-11-19,2025,Winter
a6488bb008eea374182ef29912224a0d5202eb9cd6e91dd8ebb104ac83b81e5a,Second Pass Priorities & Seniors Start,2025-02-24,2025,Spring
ef9c0a6168d8f25496d385db5eca53fdd7adf4355b26ae145d6e9f4b89b8cbf9,Second Pass Juniors Start,2023-11-24,2024,Winter
55e4da1de19523ea72d3c7c0d8f435e3878f9d497b140b1183b3e2d38481a5a0,Second Pass Juniors Start,2024-02-28,2024,Spring
