prof_last_name,prof_first_name,prof_middle_name,prof_id
Averitt,Richard,Douglas,2df9d063f34fd89a694854c336b313b541477244795bc6a28f31b1e8c6ccefc4
Kumar,Arun,Kumar,01d9cedd681dd842d6d3efdae2527e528ecc6d6104f1aecc968dc1bac86035a2
Kleissl,Jan,,8cf867f2cb94b0a8c8117b09c2695ab1a31cb32fbc8752419926bf4d3535e8fc
Harel,Guershon,,3507f3669bc12876c813f0ab1501dff6ddf2901ed742279a945777f85e51bd12
Gonzalez Gamboa,Ivonne,,bfeafea39b417a750b824c62c80232423f7bafeaacb53143df1a165a4c1891d5
Mackey,Timothy,Ken,b29974fb4072bc7f9ecce3619e9af6c85057b00ec3c35cd89b499b828126ca4e
Yeo,Eugene,Wei-Ming,8fdf7dc7d4b9cbfd3ca53dd8e3f75787032073df0a5a460847a4cf65518b4fa4
Miller,Nicole,L,37003a4472d9fae2400b2ae5e488404030c8600e884bde375c76478c0c075b04
Graff Zivin,Joshua,,f3693b38e387d16bc191b66c88620817685aab0a2b7375d005b1e53f9c8e56c5
Bennett,Eric,J,02196827a079ea8d9226e781004232cf259b560e902ff20f278cb2a29a4863bc
Chou,Raymond,Oliver,f8634c316ee1be3919d2ef372e020a8712fcbd38d0950b2f8506e4d379506b33
Ramamoorthi,Ravi,,19bd0a175d8ae97f99c2f7e2b0f844eae4480f7c098ba6dda724c272ff85c53e
Baghdadchi,Saharnaz,,18144e278be927dd92a2b75e7ff333cad10dc9c8954049b569c4ad69151749ae
Chen,Brian,Hwa-Yang,fd55e67dc733c0dff4de6f5e5c3a0f5079cfc6bf051828d9118558276b397cb9
Kwon,Ester,Jihae,276d3f3847c65d28f0264160aeacb178cc28b723ccc361713a45eacb5f7dab29
Liu,Mingming,,251817d03a5f30e2d99d139df912297d91b4e74ab959b06d9592820fb7b2af1e
Saltiel,Alan,,28d118a286e277af75b5dbf903dbf000246c7469163eb54fe4f61acfb4e63d50
Lo,Yu-Hwa,,a5f24dae406ca7fce01c101e5b6225bec2135480e56949e1bd2f4e48979c258c
An,Cheolhong,,db180d3470044e3e383af19ef81ef95270ba21d0d16052c49c6002729059ec80
Cook-Andersen,Heidi,Leigh,96795e438a89b33cfc7c2d2111ca37b05a7b9fc91151596178492ee75e1fcdf6
Yarahuaman Chamorro,Axel,Arnold,c3a7b8465d1e49f945f540df835447577d850a8b988d67f4a368b887f53573d6
Postero,Nancy,Grey,c5f2b534aea9ed7dd6b7af1e5939769452714ae43fc72dfbcbf85b8f32e8fc26
Jacobsen,Mark,,fdf39bee676fe4200756a4fb68f1aaed07649358bf730623c925735b3b8c4e0c
Ballenger,Cuyler,Jacob,d47c35a9f843a27ea4820d0467ba643a84d87412ce8db28d8d5224df9dc91ec1
Russell,Lynn,M.,3772871af07105f6738d2831117188ec0db807fa11870399081934c191bd7847
Cohen,Shiran,,fc7148d1889a5630c4e768a723cff2ba39171ea50117da13e5ae40fc1a5fd180
Ornelas,Tricia,,232840c345df663cf99dc3adb315d10a4ad8c49775ba9362ea5baf08cd3fd2e6
Lott,Margaret,S.,c4318c44aaf2b201bbc20d929c083783c379b446b8d8ae9cde8de47cba853253
Chen,Timothy,,c9c0a88dcdbe265edc300bfa529692047254e9029b8fd58ee33a10e87fce1ccd
Klann,Mary,Cameron,eca6e46d6dced6eefc8c739deb618051369ae33c1c781af3b0e4a71555ef6d27
Meckel,Katherine,Hunter,122e6ea9b63536b7cd1c2500e43ff77b2320e4b2746d7eff231d553aa407f249
Eikey,Elizabeth,Victoria,1fbbb7936e3019a5dc3e389ec17223008a6068eb039319ef182871f0d066071a
Omens,Jeffrey,Howard,1e0fa83011813f4de38276f68d2483d5017e29d2f342c389a905da03bce530a4
Mongiardino Koch,Nicolas,,d1355851a53f884b3878395c4b26a1e65a9475f7a8ee71275c134bac340bc931
Gallagher-Geurtsen,Tricia,Meghan,f968ea9e81341a20cd35de62ff5fc470f3ef0fe846ddbc95e3f0e1d0ca5d59eb
Saphire,Erica,Ollmann,58a099297d27c36f03c09632b9515f100655819cc1c81219d7116494eef2c37e
McKenna,Denise,,2c0300b4f2cc77e90c892c63e692dd7d88891dcd9f54608909e4aca952dccf2e
Frisch,Joshua,R,c1456ec75e1f7c4f122ef1f0dd8444d3331ecde10702e458d13eaf5e3c189948
Jazzar,Rodolphe,,69aa16502b2a4258e4e63ea5516d948af334697d7de2af2e50ae94142fa6ce65
Gordts,Philip,,35561b99d28d77f6c5186db57d89542490a23cd351b931ee8a68079c8f667113
Friend,James,Robert,c6a11b931b5f1f1826ef685d7a8dac3174a5458bc8f1185d657e93f56fad10bb
Saintillan,David,,759e1bc8fa31c57b9acfbf38fabb360e824ece8df94e05503648b25d02ffbeca
Feldstein,Ariel,E,49a2740ab16182dd95d89766db2066cb6e893b74e158a636cdfe35e2351e8c2e
Tynan,George,Robert,98254583c3bfdc0f75b49b87e388e5be2c3ccda3efdb742615e2e58672cf2339
Pilegard,Celeste,Cristine,d85cfd7d85e139838036ffa3b872e1a05299f4e6f6fe9b4ed93c1dd50fe26465
Bafna,Vineet,,17eef12f5407d935df5e6e899dbeab2706d23f3800dd8b599af71e69d7fd0591
Farrar,Charles,R.,60d23f53b6af2d38c95c0d904323bf8c4d21569bd3397d1f68fe9d64985078bc
Boumechache,Miyyada,,e28bb15de7463daa915e32bc7a21b3a33e479fbca55bee712a290d4f18bf1dbc
Jordan,David,K.,c3acd41b4f944d18d88395c4fb29ff28e9eee68b5e36cf811bfa196bea2a8f79
Boomhower,Matthew,Charles,e85bd47f1d320c5327e3620a1391033a60c950938951e4768c960d8c5b51495f
Roy,Kaustuv,,7912b0b6732a8d63cba1d7eac064088937c45b848d8a998d114a67409de35737
Rose,Fred,E.,d84d3eaa692d72fec4b4b4ab82ff96fd7d84c7af90f281db061421195e48755f
Friedman,Rick,Adam,5235ce9cf7e7d0b3e887e4bdd9459b00c9e0ce8a8837443971a6ca45aee2e196
Pham,Vincent,Minhduc,e8eb893b87a7a61d7357d0d3042192f55bccf030e91a39d7d6d689fbf636e1e5
Rose,Jordan,M,304c2acd0021b46da6d6b6aaa27915b2f7ef99269b81a3d190881e22af7134f8
Minnes Kemp,Mor,Mia,7a3a2eb836b267528cdf489af0dd0358b6bea7bfdda6182b50a8369ca8acabf6
Gupta,Amarnath,,4831a6477f1559e6faaf839df4b821ed808a5a873cf213f04cc250848db9aa59
Jack,Caroline,Sarah,f01e8054ab3aa39fa013ade46fc9f30cbb759bb4869427481ef66fabf484189d
Hasty,Jeff,M,149a30000a76d8eb5995659b1c239af187f5a5c88cb99d082ac48f7cb3fa83c2
Corrales,Joseph,Bernales,14345c7202c58021264e1900ff0e2a611ca0eb402e51f752e91be541dd688945
Hui,Enfu,,c3fecc1a122ae827e9db0e00ce99eb9a179dbc261db76a4883566425623a828e
Garellek,Marc,,d4e8a2db4aaca53448cd3e0df0a0b64d2b15c1d6ecbaaa0a4c130ae7c60f057a
de Callafon,Raymond,A,f2c282d80f1dff955e223a5eec79e231c6512fb47c6de5280056279a0b5b3169
Brink,David,O.,1ac03e7036713ccf4d0ad7d91ae42c0ea7f3d485f4a6915d03c0c670d8ec7215
Papamatheakis,Demosthenes,,5d8649862517cf1e82717e04c8b11edca034fd0c5028b080d76e92937722e1ea
Carter,Jennifer,A,07fe33cfe07bd564be6fde9033a8ae948eea5e3a5bc15d8d48bc24fabf97be3e
Gneezy,Ayelet,,9b9ad1d1d1e4e8998a349dddbc25e0cd4589e0435f1128f92bb8a2991488c981
Munyaka,Imani,N. S.,e20d6300e38fae85bcba0764bbcfb2cffc51de300e9336c498b9195f2dc41dba
Fisk,David,Lee,e07c9607f03d05689ede937c4f7e1f60a031a43e2f19148caafc24b5be45db5b
Arnal,Maud,Marie Leonie,5650dcc718d35f335e533be7049463013cb364bc558a8aab017746bd3e53d50a
Gould,Carlos,Francisco,40fd675d695fd4507dc0f4929cf6cd0e294198cb0b3af79a573410689614fc62
Chung,Luz,Marina,276e9b81598c2d3ce62033bd1c57c6a59326becfb4e77277cb2541918e341a67
Ko,Jiyoung,,a72f7405f05484835486c3341fdaabc58f54ea4a35dd8b03a2e254861fa2e6e8
Tour,Ella,,3b38fd811c7c1cd76f805c31a3a4f91cd222367eed5bac351323544c017c76ff
Mackinnon,Jennifer,A.,efc89927a5743964010582b109f067181806d3ba68d3716b927d308f018a2c6a
Steinberg,Stacy,A,6244c7de1ede17d9316f55a933c363c4fdc2044f9c7dbdf08c3de115bcab887e
Calcutt,Nigel,A,9c5cf029879c8f1812b2cc0e1ad3bac58f8bf5915efda48dadec0546f0b74f57
Helmuth,Catherine,Eng,a349121a6b7b1b583fca7b120c191b7bdc8e7a2c4cf50418da696193674c15a3
Gmeiner,Timothy,M,31d07d447f513891727932e93adce70fb6c811136d849540dc04ac25bd9f0071
Rangel,Lara,M,9874c5e400644ea00e5e209bd42e8ce4bdb60e85bfcec63a449a16e7bed4b402
Cho,Erica,,00e26e7399571f4b71eca188f3bbb32e59017e0c2e573713566e5b6a4b42250a
Besterman,Aaron,David,0487c61138af19f47d3eeef2bbb5d3e403b7dad1e3c04d6f84ec1a90e4d76eab
Copp,Corina,,cc57d5ac5a653dd5bc4b23db6d6df6c4fb7458f458b0f167a0800eafd4b51d23
Jeong,Ah-Reum,,7a63044bb5c4852cbf2df5fc86c289fa5b85068f79ce52cf51c963fd170830ec
Jimenez Cano,Nayeli,Guada,3c7a360e9b437502097194071120243e725e596e05c1a256d90c1969793f40a8
Liu,Lin,,00a978fd6f602021a002039bb467c5517b676549b1d724d9b753a265c5f7494c
Cubukcu,Ertugrul,,a6d330a208d42a0b86fae5738187f9ffbaa58377160527a0291c636234d53c2c
Kiger,Amy,,55cbf354a6887edd870caee9d0eee192f96dbcd52919934dce615e5721176130
O'Donoghue,Anthony,John,a948b902898340656cec885cac93ce2fdcde43327c22de4c3d31f61ca1c469a2
Gokatalay,Semih,,b505756917a45e55317a7b0b926044549b705786e1e020787846d32de810f755
Martiniuk,Jill,,07412a53c93253240a1ff5664ac3f956e89be219d6b5024b2662c57aa9dac007
Zhou,Huilin,,409666185be0f97c9803e80a2bf38ff1633993be0058dc40b8094d761cc50036
Frank,Ross,H.,51bbd557116514fed4e1a2e2b67eb25edb86a49f27598b030dcb2e98e5c45d70
White,Anne,Elizabeth Clar,c662ee1c19c7af55ca349d79de8ba7644a6af3fd9e36658dfeb997d7b0237ee8
Komarova,Natalia,,7b4ad125ea6e9c77f68bd8e6f498c2b7b297f1e4763ef3ddf9f635a338d9f640
Gaines,Tommi,L.,ed6c55796bc1fe76eac3db7524887493f98be6c42ea5d5694048787df79feb14
Metera,Jenna,Marie,4b25c14a8e4209b706dfb832e40202b3698d4e034b7d8a0d3833e0ef253b65c6
Vergassola,Massimo,,1d1e61f88b431073c537fef4d4ee8a4526b9dde9887a7913c48e81ba1674cec4
Rottenstreich,Yuval,S,88bc6ea70e5739ca621f8739730720b283685f849e9ac3dd54183c7e660eb385
Chern,Albert,Ren-Haur,7c7c394f1b5a3badb7d5c529596ec1ee0d1843978ed13e75d527cfd4919f143d
Mayberry,Rachel,,c1357599ca69661d0438326eca69e66a5bea6f216af92679a08d89988b1d037d
